Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1),SKU,SKU,SKU,SKU,Packaging,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,MOQ,URL,URL,URL,URL,Distributor [Digi-Key],SKU [Digi-Key],Packaging [Digi-Key],Unit Price (@ Batch Size: 1) [Digi-Key],Line Total [Digi-Key],Batch Total [Digi-Key],In Stock [Digi-Key],MOQ [Digi-Key],URL [Digi-Key],Notes
,,,,,,,,,Digi-Key,Farnell,RS Components,TME,Digi-Key,Farnell,RS Components,TME,Digi-Key,Farnell,RS Components,TME,Digi-Key,Farnell,RS Components,TME,Digi-Key,Farnell,RS Components,TME,Digi-Key,Farnell,RS Components,TME,,,,,,,,,,
1,RC0603FR-072R2L,Yageo,RC0603FR-072R2L,https://octopart.com/rc0603fr-072r2l-yageo-43171452,R1,,2R2 1%,1,311-2.2HRCT-ND,9238166,,,Cut Tape,,,,0.08591140000000001,,,,56546,20767,,,1,10,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0b8d9c2&sid=459&ppid=43171452&vpid=115682372&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0de43ff&sid=819&ppid=43171452&vpid=148351573&ct=offers,,,Digi-Key,311-2.2HRCT-ND,Cut Tape,0.08591140000000001,0.08591140000000001,0.08591140000000001,56546,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0b8d9c2&sid=459&ppid=43171452&vpid=115682372&ct=offers,
5,RC0603JR-071KL,Yageo,RC0603JR-071KL,https://octopart.com/rc0603jr-071kl-yageo-55402888,R15 R17 R18 R21 R16,,1k,5,311-1.0KGRCT-ND,2309108,,RC0603JR-071K,Cut Tape,,,,0.08591140000000001,0.0266,,,3893622,24258,,597800,1,1,,100,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=089ccc1&sid=459&ppid=55402888&vpid=188128979&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0624694&sid=819&ppid=55402888&vpid=190268013&ct=offers,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=08733b7&sid=1532&ppid=55402888&vpid=187873713&ct=offers,Digi-Key,311-1.0KGRCT-ND,Cut Tape,0.08591140000000001,0.4295570000000001,0.4295570000000001,3893622,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=089ccc1&sid=459&ppid=55402888&vpid=188128979&ct=offers,
3,B3U-1000P,Omron,B3U-1000P,https://octopart.com/b3u-1000p-omron-1057357,SW2 SW3 SW4,,RST,3,SW1020CT-ND,1333652,,,Cut Tape,,,,0.859114,,,,105165,36828,,,1,5,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=070966c&sid=459&ppid=1057357&vpid=34033658&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0353c3d&sid=819&ppid=1057357&vpid=147699083&ct=offers,,,Digi-Key,SW1020CT-ND,Cut Tape,0.859114,2.5773420000000002,2.5773420000000002,105165,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=070966c&sid=459&ppid=1057357&vpid=34033658&ct=offers,
1,RC0603FR-0720KL,Yageo,RC0603FR-0720KL,https://octopart.com/rc0603fr-0720kl-yageo-1197359,R19,,20k 1%,1,311-20.0KHRCT-ND,1799331,,RC0603FR-0720K,Cut Tape,Cut Tape,,,0.08591140000000001,0.0664,,,3155472,1986,,0,1,1,,100,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0386612&sid=459&ppid=1197359&vpid=1315555&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0081d98&sid=819&ppid=1197359&vpid=148346721&ct=offers,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=02385d0&sid=1532&ppid=1197359&vpid=88745906&ct=offers,Digi-Key,311-20.0KHRCT-ND,Cut Tape,0.08591140000000001,0.08591140000000001,0.08591140000000001,3155472,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0386612&sid=459&ppid=1197359&vpid=1315555&ct=offers,
1,450301014042,Würth Elektronik,450301014042,https://octopart.com/450301014042-w%C3%BCrth+elektronik-23825802,SW1,,450301014042,1,450301014042-ND,2134452,,,Bulk,,,,1.8213216800000003,1.78,,,2157,5897,,,1,1,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0a1d353&sid=459&ppid=23825802&vpid=194151727&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=01b5534&sid=819&ppid=23825802&vpid=148329318&ct=offers,,,Digi-Key,450301014042-ND,Bulk,1.8213216800000003,1.8213216800000003,1.8213216800000003,2157,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0a1d353&sid=459&ppid=23825802&vpid=194151727&ct=offers,
1,LM2940IMPX-5.0/NOPB,Texas Instruments,LM2940IMPX-5.0/NOPB,https://octopart.com/lm2940impx-5.0%2Fnopb-texas+instruments-24813560,U2,,M2940IMPX-5.0,1,LM2940IMPX-5.0/NOPBCT-ND,,,,Cut Tape,,,,1.86427738,,,,2730,,,,1,,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0a42b98&sid=459&ppid=24813560&vpid=57588579&ct=offers,,,,Digi-Key,LM2940IMPX-5.0/NOPBCT-ND,Cut Tape,1.86427738,1.86427738,1.86427738,2730,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0a42b98&sid=459&ppid=24813560&vpid=57588579&ct=offers,
1,DSPIC33EP512MC806-I/PT,Microchip,DSPIC33EP512MC806-I/PT,https://octopart.com/dspic33ep512mc806-i%2Fpt-microchip-21270021,U11,,DSPIC33EP512MC806,1,DSPIC33EP512MC806-I/PT-ND,2425985,,,Tray,,,,6.69249806,8.92,,,617,165,,,1,1,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=03e921a&sid=459&ppid=21270021&vpid=45700949&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0f4763f&sid=819&ppid=21270021&vpid=147607901&ct=offers,,,Digi-Key,DSPIC33EP512MC806-I/PT-ND,Tray,6.69249806,6.69249806,6.69249806,617,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=03e921a&sid=459&ppid=21270021&vpid=45700949&ct=offers,
2,ZXMHC3A01T8TA,Diodes Inc.,ZXMHC3A01T8TA,https://octopart.com/zxmhc3a01t8ta-diodes+inc.-660067,U8 U7,,ZXMHC3A01T8,2,ZXMHC3A01T8CT-ND,2061506,,,Cut Tape,,,,1.5807697600000001,2.17,,,8695,0,,,1,1,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=089d909&sid=459&ppid=660067&vpid=1361811&ct=offers,https://octopart.com/click/track?c=1&country=ES&ak=68b25f31&sig=065bdc7&sid=819&ppid=660067&vpid=147425293&ct=offers,,,Digi-Key,ZXMHC3A01T8CT-ND,Cut Tape,1.5807697600000001,3.1615395200000003,3.1615395200000003,8695,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=089d909&sid=459&ppid=660067&vpid=1361811&ct=offers,
1,ULN2003APW,Texas Instruments,ULN2003APW,https://octopart.com/uln2003apw-texas+instruments-7107989,U12,,ULN2003A,1,296-34765-5-ND,2335680,,ULN2003APW,Tube,,,,0.58419752,545,,0.4894802015,1895,158,,277,1,1,,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0ad7a3b&sid=459&ppid=7107989&vpid=52624736&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0310d18&sid=819&ppid=7107989&vpid=148185505&ct=offers,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0ab903c&sid=1532&ppid=7107989&vpid=419806847&ct=offers,Digi-Key,296-34765-5-ND,Tube,0.58419752,0.58419752,0.58419752,1895,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0ad7a3b&sid=459&ppid=7107989&vpid=52624736&ct=offers,
2,MCP1700T-3302E/TT,Microchip,MCP1700T-3302E/TT,https://octopart.com/mcp1700t-3302e%2Ftt-microchip-535742,U6 U1,,MCP1700,2,MCP1700T3302ETTCT-ND,1296592RL,,MCP1700T3302ETT,Cut Tape,,,,0.33505446000000005,355,,,131139,83543,,9383,1,1,,3,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=071bb1d&sid=459&ppid=535742&vpid=1805989&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=060c28e&sid=819&ppid=535742&vpid=147608725&ct=offers,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=08ba571&sid=1532&ppid=535742&vpid=88652478&ct=offers,Digi-Key,MCP1700T3302ETTCT-ND,Cut Tape,0.33505446000000005,0.6701089200000001,0.6701089200000001,131139,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=071bb1d&sid=459&ppid=535742&vpid=1805989&ct=offers,
2,TC4427COA,Microchip,TC4427COA,https://octopart.com/tc4427coa-microchip-91446,U4 U3,,TC4427COA,2,TC4427COA-ND,9762620,,TC4427COA,Tube,,,,1.19416846,1.51,,0.7560203200000001,778,8,,743,1,1,,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0809f65&sid=459&ppid=91446&vpid=1436716&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0b3fe9f&sid=819&ppid=91446&vpid=147613173&ct=offers,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=01c2b2c&sid=1532&ppid=91446&vpid=88664044&ct=offers,Digi-Key,TC4427COA-ND,Tube,1.19416846,2.38833692,2.38833692,778,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0809f65&sid=459&ppid=91446&vpid=1436716&ct=offers,
1,LY3200ALHTR,STMicroelectronics,LY3200ALHTR,https://octopart.com/ly3200alhtr-stmicroelectronics-17996093,U5,,LY3200ALH,1,497-11080-1-ND,,,,Cut Tape,,,,3.05844584,,,,6451,,,,1,,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=00f12ed&sid=459&ppid=17996093&vpid=36622466&ct=offers,,,,Digi-Key,497-11080-1-ND,Cut Tape,3.05844584,3.05844584,3.05844584,6451,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=00f12ed&sid=459&ppid=17996093&vpid=36622466&ct=offers,
1,CSTCE10M0G55-R0,Murata,CSTCE10M0G55-R0,https://octopart.com/cstce10m0g55-r0-murata-314370,Y1,,10Mhz,1,490-1196-1-ND,,,CSTCE10M0G55-R0,Cut Tape,,,,0.41237472000000003,,,,19599,,,0,1,,,3000,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0793af4&sid=459&ppid=314370&vpid=1265304&ct=offers,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0030775&sid=1532&ppid=314370&vpid=430923450&ct=offers,Digi-Key,490-1196-1-ND,Cut Tape,0.41237472000000003,0.41237472000000003,0.41237472000000003,19599,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0793af4&sid=459&ppid=314370&vpid=1265304&ct=offers,
