Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1),SKU,SKU,SKU,SKU,Packaging,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,MOQ,URL,URL,URL,URL,Distributor [Digi-Key],SKU [Digi-Key],Packaging [Digi-Key],Unit Price (@ Batch Size: 1) [Digi-Key],Line Total [Digi-Key],Batch Total [Digi-Key],In Stock [Digi-Key],MOQ [Digi-Key],URL [Digi-Key],Notes
,,,,,,,,,Digi-Key,Farnell,RS Components,TME,Digi-Key,Farnell,RS Components,TME,Digi-Key,Farnell,RS Components,TME,Digi-Key,Farnell,RS Components,TME,Digi-Key,Farnell,RS Components,TME,Digi-Key,Farnell,RS Components,TME,,,,,,,,,,
2,SFH4545,Osram Opto,SFH 4545,https://octopart.com/sfh+4545-osram+opto-31094092,D7 D8,,TX-LD,2,475-2919-ND,,,SFH4545,Bulk,,,,0.6443355000000001,,,0.48651625820000005,54630,,,1034,1,,,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=02b4330&sid=459&ppid=31094092&vpid=90899884&ct=offers,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0308b1f&sid=1532&ppid=31094092&vpid=410536086&ct=offers,Digi-Key,475-2919-ND,Bulk,0.6443355000000001,1.2886710000000001,1.2886710000000001,54630,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=02b4330&sid=459&ppid=31094092&vpid=90899884&ct=offers,
1,SFH4545,Osram Opto,SFH 4545,https://octopart.com/sfh+4545-osram+opto-31094092,D9,,TX-R,1,475-2919-ND,,,SFH4545,Bulk,,,,0.6443355000000001,,,0.48651625820000005,54630,,,1034,1,,,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=02b4330&sid=459&ppid=31094092&vpid=90899884&ct=offers,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0308b1f&sid=1532&ppid=31094092&vpid=410536086&ct=offers,Digi-Key,475-2919-ND,Bulk,0.6443355000000001,0.6443355000000001,0.6443355000000001,54630,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=02b4330&sid=459&ppid=31094092&vpid=90899884&ct=offers,
1,SML-D12P8WT86,Rohm,SML-D12P8WT86,https://octopart.com/sml-d12p8wt86-rohm-9289138,D1,,LED1,1,511-1579-1-ND,2507529,,,Cut Tape,,,,0.29209876,1.44,,,25783,4204,,,1,1,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0d51f99&sid=459&ppid=9289138&vpid=34047033&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=04a6bab&sid=819&ppid=9289138&vpid=242951204&ct=offers,,,Digi-Key,511-1579-1-ND,Cut Tape,0.29209876,0.29209876,0.29209876,25783,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0d51f99&sid=459&ppid=9289138&vpid=34047033&ct=offers,
1,SML-D12P8WT86,Rohm,SML-D12P8WT86,https://octopart.com/sml-d12p8wt86-rohm-9289138,D3,,LED2,1,511-1579-1-ND,2507529,,,Cut Tape,,,,0.29209876,1.44,,,25783,4204,,,1,1,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0d51f99&sid=459&ppid=9289138&vpid=34047033&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=04a6bab&sid=819&ppid=9289138&vpid=242951204&ct=offers,,,Digi-Key,511-1579-1-ND,Cut Tape,0.29209876,0.29209876,0.29209876,25783,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0d51f99&sid=459&ppid=9289138&vpid=34047033&ct=offers,
1,SML-D12P8WT86,Rohm,SML-D12P8WT86,https://octopart.com/sml-d12p8wt86-rohm-9289138,D4,,LED3,1,511-1579-1-ND,2507529,,,Cut Tape,,,,0.29209876,1.44,,,25783,4204,,,1,1,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0d51f99&sid=459&ppid=9289138&vpid=34047033&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=04a6bab&sid=819&ppid=9289138&vpid=242951204&ct=offers,,,Digi-Key,511-1579-1-ND,Cut Tape,0.29209876,0.29209876,0.29209876,25783,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0d51f99&sid=459&ppid=9289138&vpid=34047033&ct=offers,
1,SML-D12P8WT86,Rohm,SML-D12P8WT86,https://octopart.com/sml-d12p8wt86-rohm-9289138,D5,,LED4,1,511-1579-1-ND,2507529,,,Cut Tape,,,,0.29209876,1.44,,,25783,4204,,,1,1,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0d51f99&sid=459&ppid=9289138&vpid=34047033&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=04a6bab&sid=819&ppid=9289138&vpid=242951204&ct=offers,,,Digi-Key,511-1579-1-ND,Cut Tape,0.29209876,0.29209876,0.29209876,25783,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0d51f99&sid=459&ppid=9289138&vpid=34047033&ct=offers,
2,PREC020SBAN-M71RC,Sullins,PREC020SBAN-M71RC,https://octopart.com/prec020sban-m71rc-sullins-22265312,J4 J5,,ENC-L,2,S1112EC-20-ND,,,,Bag,,,,0.39519244000000003,,,,0,,,,1,,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=075e8cc&sid=459&ppid=22265312&vpid=47550285&ct=offers,,,,Digi-Key,S1112EC-20-ND,Bag,0.39519244000000003,0.7903848800000001,0.7903848800000001,0,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=075e8cc&sid=459&ppid=22265312&vpid=47550285&ct=offers,
1,B3B-PH-K-S(LF)(SN),JST,B3B-PH-K-S(LF)(SN),https://octopart.com/b3b-ph-k-s%28lf%29%28sn%29-jst-248869,J1,,PWR1,1,455-1705-ND,9492429,,,Bulk,,,,0.16323166,,,,137074,192556,,,1,10,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0e34344&sid=459&ppid=248869&vpid=1392985&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0017a72&sid=819&ppid=248869&vpid=147561566&ct=offers,,,Digi-Key,455-1705-ND,Bulk,0.16323166,0.16323166,0.16323166,137074,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0e34344&sid=459&ppid=248869&vpid=1392985&ct=offers,
1,PREC020SBAN-M71RC,Sullins,PREC020SBAN-M71RC,https://octopart.com/prec020sban-m71rc-sullins-22265312,J2,,ICD,1,S1112EC-20-ND,,,,Bag,,,,0.39519244000000003,,,,0,,,,1,,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=075e8cc&sid=459&ppid=22265312&vpid=47550285&ct=offers,,,,Digi-Key,S1112EC-20-ND,Bag,0.39519244000000003,0.39519244000000003,0.39519244000000003,0,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=075e8cc&sid=459&ppid=22265312&vpid=47550285&ct=offers,
1,801-87-006-20-001101,Preci-Dip,801-87-006-20-001101,https://octopart.com/801-87-006-20-001101-preci-dip-21424352,J3,,BT,1,1212-1187-ND,,,,Bulk,,,,0.6701089200000001,,,,754,,,,1,,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0642f4d&sid=459&ppid=21424352&vpid=59041123&ct=offers,,,,Digi-Key,1212-1187-ND,Bulk,0.6701089200000001,0.6701089200000001,0.6701089200000001,754,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0642f4d&sid=459&ppid=21424352&vpid=59041123&ct=offers,
1,TEFT4300,Vishay,TEFT4300,https://octopart.com/teft4300-vishay-39729854,Q3,,RX-L,1,751-1041-ND,5390709,,TEFT4300,Bulk,,,,0.60997094,663,,,6377,5590,,6,1,1,,2,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0a09a97&sid=459&ppid=39729854&vpid=159804322&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=00aa4b4&sid=819&ppid=39729854&vpid=255979119&ct=offers,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0f1defe&sid=1532&ppid=39729854&vpid=347806903&ct=offers,Digi-Key,751-1041-ND,Bulk,0.60997094,0.60997094,0.60997094,6377,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0a09a97&sid=459&ppid=39729854&vpid=159804322&ct=offers,
